state,theta,.lower,.upper,.width,run_date
Alabama,0.3098455,0.25573482999999997,0.36762536,0.66,2024-05-01
Alaska,0.3812455,0.32399328,0.44299051,0.66,2024-05-01
Arizona,0.4411035,0.38016915,0.50338768,0.66,2024-05-01
Arkansas,0.2988775,0.24679881,0.35735406,0.66,2024-05-01
California,0.5988009999999999,0.53644988,0.65836435,0.66,2024-05-01
Colorado,0.5046554999999999,0.44290783,0.56623551,0.66,2024-05-01
Connecticut,0.5398845,0.47683718,0.60024723,0.66,2024-05-01
Delaware,0.5333220000000001,0.47200161,0.59521042,0.66,2024-05-01
District of Columbia,0.9042755,0.8538517499999999,0.93802525,0.66,2024-05-01
Florida,0.4299965,0.36898739,0.49237342,0.66,2024-05-01
Georgia,0.439287,0.37932305,0.50142751,0.66,2024-05-01
Hawaii,0.6035010000000001,0.54228545,0.66234616,0.66,2024-05-01
Idaho,0.2754725,0.22473761999999997,0.33326606,0.66,2024-05-01
Illinois,0.53249,0.47207294,0.59356504,0.66,2024-05-01
Indiana,0.3564405,0.30016696000000004,0.4175394,0.66,2024-05-01
Iowa,0.398711,0.3403533,0.46015561,0.66,2024-05-01
Kansas,0.3579445,0.30217805,0.4184814,0.66,2024-05-01
Kentucky,0.3037835,0.25112183,0.36224885,0.66,2024-05-01
Louisiana,0.346542,0.29106298999999997,0.40698168,0.66,2024-05-01
Maine CD-1,0.5550905,0.49445654,0.61589021,0.66,2024-05-01
Maine CD-2,0.401952,0.34413225999999997,0.46480903,0.66,2024-05-01
Maryland,0.609874,0.54778483,0.66714429,0.66,2024-05-01
Massachusetts,0.61077650000000006,0.54827229,0.66856351,0.66,2024-05-01
Michigan,0.454519,0.39469366,0.5180164700000001,0.66,2024-05-01
Minnesota,0.474021,0.4127626,0.53723256,0.66,2024-05-01
Mississippi,0.35699000000000003,0.30071611,0.41689468,0.66,2024-05-01
Missouri,0.359935,0.30383688,0.42126136,0.66,2024-05-01
Montana,0.3525425,0.29670749,0.4129684,0.66,2024-05-01
Nebraska CD-1,0.356946,0.30029883,0.41723206,0.66,2024-05-01
Nebraska CD-2,0.466276,0.40615088,0.52769121,0.66,2024-05-01
Nebraska CD-3,0.1611185,0.11952332000000002,0.21407307,0.66,2024-05-01
Nevada,0.458277,0.39770262999999995,0.51918602,0.66,2024-05-01
New Hampshire,0.4732205,0.4117829,0.53694093,0.66,2024-05-01
New Jersey,0.5237805,0.4621843,0.5845985899999999,0.66,2024-05-01
New Mexico,0.498038,0.4369733,0.56023757,0.66,2024-05-01
New York,0.5633645,0.50099413,0.62289252,0.66,2024-05-01
North Carolina,0.4354289999999999,0.37490866,0.49732985,0.66,2024-05-01
North Dakota,0.2618355,0.21235217999999997,0.31890868,0.66,2024-05-01
Ohio,0.4018505,0.34301561,0.46324423,0.66,2024-05-01
