evs,.lower,.upper,.width,run_date
193,110,293,0.66,2024-05-01
193,17.97500000000022,419,0.95,2024-05-01
193,113,293,0.66,2024-05-02
193,20,418,0.95,2024-05-02
193,110,292,0.66,2024-05-03
193,17,420,0.95,2024-05-03
194,111,287.1700000000001,0.66,2024-05-04
194,18,415,0.95,2024-05-04
191,113,288,0.66,2024-05-05
191,18,419,0.95,2024-05-05
191,113,291.1700000000001,0.66,2024-05-06
191,18,418,0.95,2024-05-06
191,110,290,0.66,2024-05-07
191,17,415,0.95,2024-05-07
191,111,287,0.66,2024-05-08
191,17,416,0.95,2024-05-08
191,110,281,0.66,2024-05-09
191,18,413.0249999999997,0.95,2024-05-09
191,110,283,0.66,2024-05-10
191,17,416,0.95,2024-05-10
191,111,286,0.66,2024-05-11
191,17,413,0.95,2024-05-11
191,110,282.1700000000001,0.66,2024-05-12
191,20,412,0.95,2024-05-12
191,113,285,0.66,2024-05-13
191,18,413,0.95,2024-05-13
191,113,280,0.66,2024-05-14
191,20,413,0.95,2024-05-14
191,113,283,0.66,2024-05-15
191,21,412,0.95,2024-05-15
192,113,284,0.66,2024-05-16
192,18,408.0249999999997,0.95,2024-05-16
191,113,281,0.66,2024-05-17
191,21,412,0.95,2024-05-17
191,113,284,0.66,2024-05-18
191,21,412,0.95,2024-05-18
188,112.82999999999991,277,0.66,2024-05-19
188,20,406,0.95,2024-05-19
191,113,276,0.66,2024-05-20
191,23.97500000000022,402,0.95,2024-05-20
191,113,275,0.66,2024-05-21
191,22,399,0.95,2024-05-21
