state,long,lat
Alabama,-86.78,33.28
Alaska,-115,26
Arizona,-111.59,33.93
Arkansas,-92.47,34.55
California,-119.71,36.64
Colorado,-105.65,39.18
Connecticut,-72.79,41.73
Delaware,-75.49,39.05
District of Columbia,-77,38.94
Florida,-82.03,28.32
Georgia,-83.5,32.73
Hawaii,-102,24.5
Idaho,-114.42,43.5
Illinois,-89.52,40.52
Indiana,-86.42,39.38
Iowa,-93.5,41.99
Kansas,-98.5,38.49
Kentucky,-84.53,37.59
Louisiana,-92.83,31.19
Maine,-69,45.88
Maine 1,-69.95,44.45
Maine 2,-68.5,44.35
Maryland,-76.75,39.63
Massachusetts,-72.41,42.45
Michigan,-84.65,43.34
Minnesota,-94.48,45.91
Mississippi,-89.56,32.82
Missouri,-92.69,38.53
Montana,-110,47.15
Nebraska,-99.78,42.34
Nebraska 1,-101.19,41.02
Nebraska 2,-99.12,40.63
Nebraska 3,-97.3,40.94
Nevada,-117.04,39.69
New Hampshire,-71.63,43.63
New Jersey,-74.6,39.82
New Mexico,-106.16,34.45
New York,-76.08,43.13
North Carolina,-78.91,35.83
North Dakota,-100.15,47.48
Ohio,-82.72,40.51
Oklahoma,-97.46,35.51
Oregon,-120.4,43.97
Pennsylvania,-78.13,40.92
Rhode Island,-71.64,41.72
South Carolina,-80.43,33.7
South Dakota,-100.29,44.5
Tennessee,-86.82,35.71
Texas,-98.78,31.65
Utah,-111.67,39.35
Vermont,-72.72,44.43
Virginia,-79.11,37.32
Washington,-120.51,47.39
West Virginia,-81.01,38.55
Wisconsin,-89.85,44.71
Wyoming,-107.47,43.09
